fecha,year,month,prod_caldas_miles_sacos,prod_nacional_miles_sacos,precip_mm,ndvi_mean,ndvi_median,ndvi_p90,precio_interno_cop
2007-01-01,2007,1,96.23997347150637,963.0,168.01529,0.7834854883180334,0.806634163129056,0.8729643871501453,477403.22580645164
2007-02-01,2007,2,100.03760482344536,1001.0,31.473475,0.7728823073926879,0.7870746047109476,0.8651575564620844,471285.71428571426
2007-03-01,2007,3,77.55162971328032,776.0,298.14944,0.653907222630622,0.6972529775979419,0.8417843822345696,440387.0967741936
2007-04-01,2007,4,76.8520660431863,769.0,376.39325,0.7067983181635347,0.7870991201457515,0.8690597760919506,424708.3333333333
2007-05-01,2007,5,99.33804115335134,994.0,377.66675,0.7038402692020603,0.78320622668573,0.8768248100130754,407157.2580645161
2007-06-01,2007,6,121.82401626351638,1219.0,102.22425,0.7967318273949896,0.8164386994888756,0.8708763748220016,425562.5
2007-07-01,2007,7,99.43797882050762,995.0,210.39418,0.7824258516554075,0.8026693817576999,0.8691025031653585,417870.96774193546
2007-08-01,2007,8,98.93829048472618,990.0,268.05844,0.7750967497528382,0.8027066461559996,0.8690168433956439,449963.70967741933
2007-09-01,2007,9,89.6440874391913,897.0,242.31055,0.781143897604729,0.8066187449380963,0.8729614864488396,483641.6666666667
2007-10-01,2007,10,112.82962621945036,1129.0,433.0382,0.6450842544906642,0.7460264649036802,0.8630733105651087,496407.2580645161
2007-11-01,2007,11,152.10512941187196,1522.0,279.8761,0.7791059642217676,0.80656744369135,0.8769491877237754,489550.0
2007-12-01,2007,12,136.215040334022,1363.0,266.37772,0.7196675300342816,0.7793118762401796,0.8768847465619319,505612.9032258064
2008-01-01,2008,1,135.80391616890483,1404.0,164.69899,0.7564535740308924,0.7792731614596469,0.8573850697998232,501520.1612903226
2008-02-01,2008,2,105.43181525933495,1090.0,231.48985,0.6997347379039035,0.7715392307767713,0.8690725636377488,544293.1034482758
2008-03-01,2008,3,84.34545220746796,872.0,300.70718,0.6891966718079052,0.7696385211659446,0.8552375681481342,494048.3870967742
2008-04-01,2008,4,85.6996223117163,886.0,285.77774,0.7224426132816136,0.7754066988713764,0.8612270898071659,439908.3333333333
2008-05-01,2008,5,79.31567753454556,820.0,400.34576,0.7232919107968283,0.794955278636082,0.8729836248267725,435076.6129032258
2008-06-01,2008,6,101.17585207455446,1046.0,274.7206,0.736308638716866,0.7871614047252641,0.8690566934457125,455125.0
2008-07-01,2008,7,86.183254491805,891.0,268.31046,0.798608050856508,0.8183342873860682,0.8768794562931512,463806.4516129032
2008-08-01,2008,8,69.15940175268302,715.0,360.3475,0.7252420128379923,0.7696332739825088,0.8631078673521633,499935.48387096776
2008-09-01,2008,9,75.1564407857828,777.0,238.30014,0.6913645222450292,0.7363534658117826,0.8573973306880991,542379.1666666666
2008-10-01,2008,10,90.82612342065644,939.0,336.6462,0.7215535818260274,0.7754168397193949,0.8729225453192094,515869.3548387097
2008-11-01,2008,11,90.24576480455,933.0,441.83902,0.4999478233887597,0.5430040485565563,0.8007647578240756,523920.8333333333
2008-12-01,2008,12,106.88271179960103,1105.0,185.08188,0.738377521237567,0.7949321894832038,0.880874994403057,509229.8387096774
2009-01-01,2009,1,82.77490389717057,876.0,242.05327,0.7036486010588703,0.7676485663792969,0.8691489227598777,570741.9354838709
2009-02-01,2009,2,82.01896870176263,868.0,216.68456,0.6861508474505477,0.7479967028641158,0.8612531002759178,638629.4642857143
2009-03-01,2009,3,72.28630306088527,765.0,281.9542,0.6982618925535192,0.7831779932344252,0.8768865688757227,660395.1612903225
2009-04-01,2009,4,32.599705301967866,345.0,259.51044,0.6980245297076969,0.7793347252256103,0.8690548073627008,765395.8333333334
2009-05-01,2009,5,66.33331339704766,702.0,275.0379,0.7937032474262786,0.8144824137183853,0.8768565979488423,835197.5806451613
2009-06-01,2009,6,64.72695110680576,685.0,252.26685,0.7417601673479653,0.794963090533764,0.8808585161827703,666450.0
2009-07-01,2009,7,54.9942854659284,582.0,98.32602,0.7944237524341912,0.8104871014538857,0.8729796159829698,642282.2580645161
2009-08-01,2009,8,37.513284072119546,397.0,215.95757,0.7836676447277262,0.79490809840937,0.8651665418113681,672516.1290322581
2009-09-01,2009,9,44.12771703193911,467.0,135.1718,0.7625167781888617,0.7852379227990232,0.8710488098937288,613787.5
2009-10-01,2009,10,51.403593287740634,544.0,301.2669,0.671815225750143,0.7363039766809623,0.8417167950261936,565701.6129032258
2009-11-01,2009,11,71.8138435637553,760.0,279.63312,0.7584119406352728,0.8066095038985952,0.8925517136541065,591575.0
2009-12-01,2009,12,77.57784942874092,821.0,151.96153,0.7738021106170425,0.7949396345945778,0.872949431110916,673116.9354838709
2010-01-01,2010,1,46.13664679957565,515.0,83.393036,0.7737073817457306,0.7910337135189485,0.8651456370903516,716729.8387096775
2010-02-01,2010,2,58.05154781771849,648.0,142.3061,0.7421121793769325,0.7715170960489188,0.8690611509372488,678531.25
2010-03-01,2010,3,56.34941910084094,629.0,220.42064,0.7189610643469101,0.7519382506376093,0.8574096574034216,688281.4516129033
2010-04-01,2010,4,57.961962095777565,647.0,287.76434,0.7604153888480761,0.7910341760837253,0.8611695838594953,660179.1666666666
2010-05-01,2010,5,73.6394634354392,822.0,307.50354,0.798434620017339,0.818398310470085,0.8808983737470811,676951.6129032258
2010-06-01,2010,6,69.87686311392041,780.0,261.5205,0.7215383154055371,0.8027168652169406,0.892586510876709,750262.5
2010-07-01,2010,7,70.50396316750687,787.0,352.96024,0.7503164550871129,0.8066371726864744,0.8847464598178505,810629.0322580645
2010-08-01,2010,8,55.09521899366801,615.0,228.64215,0.7618973524910143,0.7988345103571525,0.8809114987361005,834798.3870967742
2010-09-01,2010,9,47.480432628689506,530.0,354.5726,0.7458152093898681,0.7949222106645305,0.8690371540719157,801608.3333333334
2010-10-01,2010,10,72.29567760632534,807.0,350.1251,0.4468752924707825,0.4256956754195627,0.8083937770678515,751221.7741935484
2010-11-01,2010,11,87.7044217801642,979.0,485.25912,0.6025096582460708,0.675780952190655,0.8554005509183356,790295.8333333334
2010-12-01,2010,12,104.27778033923506,1164.0,343.63425,0.6897085599728457,0.7539512441034927,0.8788805348718444,896588.7096774194
2011-01-01,2011,1,79.3829641934293,908.0,137.77293,0.7267184296118023,0.7753559982845165,0.865160519452358,948322.5806451613
2011-02-01,2011,2,66.79359542266518,764.0,275.43738,0.745332409924877,0.7792991265548133,0.8573926988798946,1024314.2857142857
2011-03-01,2011,3,68.1049880029531,779.0,331.10858,0.7039864832038217,0.7597726432512599,0.8612603733837664,1079008.064516129
2011-04-01,2011,4,45.72388796603912,523.0,456.66638,0.7068130828520196,0.7676493823964137,0.8496241736936126,1070911.5
2011-05-01,2011,5,58.837813768918416,673.0,270.27307,0.6953989759811462,0.7793529031749205,0.8729659488262441,1021802.9032258064
2011-06-01,2011,6,41.17772702104097,471.0,219.61221,0.7914257076171103,0.8144736446921544,0.8729548903496152,965116.6666666666
2011-07-01,2011,7,46.33587117017349,530.0,219.26964,0.7647910080598533,0.7831892549418712,0.8729786367780009,931451.6129032258
2011-08-01,2011,8,40.740596160944996,466.0,204.58646,0.7584546820536361,0.7870805828971056,0.8651140676237458,963077.4193548387
2011-09-01,2011,9,40.12861295681063,459.0,218.30682,0.739759875953059,0.7793043614916502,0.8729308917760275,975683.3333333334
2011-10-01,2011,10,57.351568844592094,656.0,393.72995,0.6354043099778988,0.7383238134351165,0.8555197343632218,909088.7096774194
2011-11-01,2011,11,73.87511535622001,845.0,409.6236,0.6737997390475065,0.7539280690895386,0.8709938401616425,925595.0
2011-12-01,2011,12,64.25823643410853,735.0,332.6321,0.720101884400867,0.7774392140608835,0.8787299679328697,897911.2903225806
2012-01-01,2012,1,45.15126341784559,535.0,242.1999,0.7105233302100323,0.7714735701533781,0.8729905978581355,874862.9032258064
2012-02-01,2012,2,48.18947927399969,571.0,139.81885,0.7660608269819977,0.787120781343748,0.861231961001287,826219.8275862068
