departamento,year,month,chirps_precip_mm
Caldas,2009,3,281.9542
Caldas,2009,4,259.51044
Caldas,2009,5,275.0379
Caldas,2009,6,252.26685
Caldas,2009,7,98.32602
Caldas,2009,8,215.95757
Caldas,2009,9,135.1718
Caldas,2009,10,301.2669
Caldas,2009,11,279.63312
Caldas,2009,12,151.96153
Caldas,2010,1,83.393036
Caldas,2010,2,142.3061
Caldas,2010,3,220.42064
Caldas,2010,4,287.76434
Caldas,2010,5,307.50354
Caldas,2010,6,261.5205
Caldas,2010,7,352.96024
Caldas,2010,8,228.64215
Caldas,2010,9,354.5726
Caldas,2010,10,350.1251
Caldas,2010,11,485.25912
Caldas,2010,12,343.63425
Caldas,2011,1,137.77293
Caldas,2011,2,275.43738
Caldas,2011,3,331.10858
Caldas,2011,4,456.66638
Caldas,2011,5,270.27307
Caldas,2011,6,219.61221
Caldas,2011,7,219.26964
Caldas,2011,8,204.58646
Caldas,2011,9,218.30682
Caldas,2011,10,393.72995
Caldas,2011,11,409.6236
Caldas,2011,12,332.6321
Caldas,2012,1,242.1999
Caldas,2012,2,139.81885
Caldas,2012,3,256.06857
Caldas,2012,4,391.02155
Caldas,2012,5,280.98782
Caldas,2012,6,143.41666
Caldas,2012,7,113.632454
Caldas,2012,8,188.41913
Caldas,2012,9,130.83183
Caldas,2012,10,350.45218
Caldas,2012,11,268.76562
Caldas,2012,12,176.02638
Caldas,2013,1,86.76403
Caldas,2013,2,264.31677
Caldas,2013,3,245.21565
Caldas,2013,4,256.1024
Caldas,2013,5,398.13092
Caldas,2013,6,185.43138
Caldas,2013,7,83.86624
Caldas,2013,8,235.89636
Caldas,2013,9,269.12637
Caldas,2013,10,302.71942
Caldas,2013,11,304.00723
Caldas,2013,12,229.66594
Caldas,2014,1,171.83371
Caldas,2014,2,225.04637
Caldas,2014,3,207.3042
Caldas,2014,4,241.91988
Caldas,2014,5,307.30075
Caldas,2014,6,134.70978
Caldas,2014,7,52.84032
Caldas,2014,8,142.85512
Caldas,2014,9,247.73817
Caldas,2014,10,344.13034
Caldas,2014,11,249.783
Caldas,2014,12,185.33125
Caldas,2015,1,163.56314
Caldas,2015,2,152.09175
Caldas,2015,3,210.27696
Caldas,2015,4,268.74768
Caldas,2015,5,201.4093
Caldas,2015,6,91.344025
Caldas,2015,7,134.54955
Caldas,2015,8,110.50544
Caldas,2015,9,160.20634
Caldas,2015,10,249.21764
Caldas,2015,11,242.09456
Caldas,2015,12,82.86896
Caldas,2016,1,67.32574
Caldas,2016,2,123.44891
Caldas,2016,3,178.31668
Caldas,2016,4,267.59714
Caldas,2016,5,245.64189
Caldas,2016,6,105.587234
Caldas,2016,7,174.41048
Caldas,2016,8,158.39444
Caldas,2016,9,277.77167
Caldas,2016,10,335.6767
Caldas,2016,11,322.75113
Caldas,2016,12,279.08746
Caldas,2017,1,175.7029
Caldas,2017,2,102.0928
Caldas,2017,3,384.26236
Caldas,2017,4,258.67584
Caldas,2017,5,398.0128
Caldas,2017,6,260.63443
Caldas,2017,7,88.664734
Caldas,2017,8,228.58954
Caldas,2017,9,302.56946
Caldas,2017,10,330.58176
Caldas,2017,11,343.1368
Caldas,2017,12,208.46393
Caldas,2018,1,229.16089
Caldas,2018,2,138.18019
Caldas,2018,3,230.53708
Caldas,2018,4,326.02145
Caldas,2018,5,428.80377
Caldas,2018,6,152.92406
Caldas,2018,7,134.4202
Caldas,2018,8,154.68472
Caldas,2018,9,280.77444
Caldas,2018,10,365.36606
Caldas,2018,11,342.95068
Caldas,2018,12,114.22836
Caldas,2019,1,122.464516
Caldas,2019,2,216.5995
Caldas,2019,3,266.0628
Caldas,2019,4,302.24994
Caldas,2019,5,322.3614
Caldas,2019,6,154.82262
Caldas,2019,7,151.76431
Caldas,2019,8,49.399075
Caldas,2019,9,252.74345
Caldas,2019,10,344.7
Caldas,2019,11,276.105
Caldas,2019,12,201.27083
Caldas,2020,1,84.080025
Caldas,2020,2,117.53257
Caldas,2020,3,162.64682
Caldas,2020,4,209.96977
Caldas,2020,5,176.46362
Caldas,2020,6,208.83556
Caldas,2020,7,285.49106
Caldas,2020,8,231.16087
Caldas,2020,9,268.34183
Caldas,2020,10,263.70172
Caldas,2020,11,317.47064
Caldas,2020,12,225.929
Caldas,2021,1,162.4981
Caldas,2021,2,185.75429
Caldas,2021,3,312.8993
Caldas,2021,4,299.50137
Caldas,2021,5,278.12997
Caldas,2021,6,285.28644
Caldas,2021,7,156.10197
Caldas,2021,8,313.62747
Caldas,2021,9,225.49686
Caldas,2021,10,331.90933
Caldas,2021,11,316.77618
Caldas,2021,12,179.08272
